# CSVは次の仕様です:
# - 1列目: 再生するmmlファイル名（相対パス）
# - 2列目: ループ回数（0: 非ループ曲 or 無限ループ, 1以上: ループ回数）
# - 3列目: 曲タイトル

# 東方幻想郷
mml/BSLOT060.mml, 1, 風神少女 (ShortVersion)
mml/BSLOT085.mml, 1, 六十年目の東方裁判　〜 Fate of Sixty Years

# 東方風神録
mml/BSLOT098.mml, 1, 封印されし神々
mml/BSLOT088.mml, 1, 人恋し神様　〜 Romantic Fall
mml/BSLOT069.mml, 1, 稲田姫様に叱られるから
mml/BSLOT089.mml, 1, 厄神様の通り道　〜 Dark Road
mml/BSLOT090.mml, 1, 運命のダークサイド
mml/BSLOT064.mml, 1, 神々が恋した幻想郷
mml/BSLOT065.mml, 1, 芥川龍之介の河童　〜 Candid Friend
mml/BSLOT091.mml, 1, フォールオブフォール　〜 秋めく滝
mml/BSLOT092.mml, 1, 妖怪の山　〜 Mysterious Mountain
mml/BSLOT093.mml, 1, 少女が見た日本の原風景
mml/BSLOT094.mml, 1, 信仰は儚き人間の為に
mml/BSLOT095.mml, 1, 御柱の墓場　〜 Grave of Being
mml/BSLOT096.mml, 1, 神さびた古戦場　〜 Suwa Foughten Field
mml/BSLOT067.mml, 1, 明日ハレの日、ケの昨日
mml/BSLOT068.mml, 1, ネイティブフェイス
mml/BSLOT097.mml, 1, 麓の神社
mml/BSLOT099.mml, 1, 神は恵みの雨を降らす　〜 Sylphid Dream
mml/BSLOT100.mml, 1, プレイヤーズスコア

# 東方地霊殿(0xB0)
mml/BSLOT101.mml, 1, 緑眼のジェラシー
mml/BSLOT072.mml, 1, 少女さとり　〜 3rd eye
mml/BSLOT102.mml, 1, 死体旅行　〜 Be of good cheer!
